season,bowler,runs_conceded,balls_bowled,wickets,extras_conceded,wides,noballs,economy,bowling_avg,bowling_sr
2008,A Kumble,294,236,8,20,6,0,7.98,39.25,29.5
2008,A Mishra,134,123,11,6,3,1,6.83,12.73,11.18
2008,A Nehra,336,280,14,21,10,1,7.65,25.5,20.0
2008,A Nel,31,18,1,0,0,0,10.33,31.0,18.0
2008,A Symonds,94,44,0,12,2,1,14.45,inf,inf
2008,AA Noffke,35,25,1,6,1,0,9.84,41.0,25.0
2008,AB Agarkar,195,168,8,16,11,1,7.54,26.38,21.0
2008,AB Dinda,245,245,11,21,10,1,6.51,24.18,22.27
2008,AD Mascarenhas,27,25,2,4,1,0,7.44,15.5,12.5
2008,AM Nayar,67,43,1,2,1,0,9.63,69.0,43.0
2008,Abdur Razzak,23,14,0,6,1,1,12.43,inf,inf
2008,B Akhil,132,105,3,6,1,0,7.89,46.0,35.0
2008,B Geeves,90,49,2,1,1,0,11.14,45.5,24.5
2008,B Lee,109,99,5,9,0,3,7.15,23.6,19.8
2008,BAW Mendis,24,24,1,0,0,0,6.0,24.0,24.0
2008,CK Kapugedera,49,17,0,0,0,0,17.29,inf,inf
2008,CL White,22,7,0,2,1,0,20.57,inf,inf
2008,CRD Fernando,152,128,12,12,7,1,7.69,13.67,10.67
2008,D Kalyankrishna,85,50,2,3,2,0,10.56,44.0,25.0
2008,D Salunkhe,70,51,1,10,3,1,9.41,80.0,51.0
2008,DB Ravi Teja,19,12,1,0,0,0,9.5,19.0,12.0
2008,DJ Bravo,222,181,11,17,10,0,7.92,21.73,16.45
2008,DJ Hussey,129,79,3,5,1,0,10.18,44.67,26.33
2008,DJ Thornely,38,44,3,2,2,0,5.45,13.33,14.67
2008,DL Vettori,54,48,2,0,0,0,6.75,27.0,24.0
2008,DNT Zoysa,96,69,2,4,1,2,8.7,50.0,34.5
2008,DP Vijaykumar,192,159,4,13,5,2,7.74,51.25,39.75
2008,DR Smith,76,69,5,7,3,0,7.22,16.6,13.8
2008,DS Kulkarni,216,193,13,26,12,4,7.52,18.62,14.85
2008,DW Steyn,228,247,13,37,17,2,6.44,20.38,19.0
2008,GD McGrath,352,329,14,14,4,1,6.67,26.14,23.5
2008,Gagandeep Singh,141,84,3,1,0,0,10.14,47.33,28.0
2008,Harbhajan Singh,79,62,6,5,2,0,8.13,14.0,10.33
2008,I Sharma,308,266,7,40,9,4,7.85,49.71,38.0
2008,IK Pathan,331,336,20,30,18,0,6.45,18.05,16.8
2008,Iqbal Abdulla,22,18,1,0,0,0,7.33,22.0,18.0
2008,JA Morkel,373,310,20,41,17,5,8.01,20.7,15.5
2008,JDP Oram,145,100,6,4,4,0,8.94,24.83,16.67
2008,JH Kallis,302,211,4,20,5,0,9.16,80.5,52.75
2008,JR Hopes,273,171,7,12,3,0,10.0,40.71,24.43
2008,Joginder Sharma,228,158,9,13,5,5,9.15,26.78,17.56
2008,K Goel,25,12,0,0,0,0,12.5,inf,inf
2008,L Balaji,278,205,11,15,7,0,8.58,26.64,18.64
2008,LPC Silva,21,6,0,0,0,0,21.0,inf,inf
2008,LR Shukla,113,78,6,13,4,2,9.69,21.0,13.0
2008,M Kartik,126,89,5,6,1,0,8.9,26.4,17.8
2008,M Muralitharan,378,369,11,38,20,1,6.76,37.82,33.55
2008,M Ntini,238,213,8,19,1,2,7.24,32.12,26.62
2008,MA Khote,51,30,2,1,0,0,10.4,26.0,15.0
2008,MF Maharoof,238,226,19,17,10,0,6.77,13.42,11.89
2008,MM Patel,414,336,16,9,5,1,7.55,26.44,21.0
2008,MS Gony,432,371,18,24,9,2,7.37,25.33,20.61
2008,Mohammad Asif,289,199,9,18,6,1,9.26,34.11,22.11
2008,Mohammad Hafeez,61,63,2,10,2,1,6.76,35.5,31.5
2008,P Amarnath,236,132,7,5,0,0,10.95,34.43,18.86
2008,P Kumar,352,275,12,24,7,0,8.2,31.33,22.92
2008,PJ Sangwan,200,155,7,21,10,1,8.55,31.57,22.14
2008,PM Sarvesh Kumar,41,31,1,1,1,0,8.13,42.0,31.0
2008,PP Chawla,375,286,19,21,5,0,8.31,20.84,15.05
2008,PP Ojha,264,236,11,35,14,0,7.6,27.18,21.45
2008,Pankaj Singh,125,76,0,4,3,1,10.18,inf,inf
2008,R Bhatia,180,134,9,5,2,0,8.28,20.56,14.89
2008,R Vinay Kumar,179,141,7,4,1,2,7.79,26.14,20.14
2008,RA Jadeja,21,13,1,0,0,0,9.69,21.0,13.0
2008,RG Sharma,24,25,1,2,1,0,6.24,26.0,25.0
2008,RP Singh,425,325,17,34,16,1,8.47,27.0,19.12
2008,RR Powar,86,77,3,7,5,0,7.25,31.0,25.67
2008,RR Raje,133,102,6,9,3,1,8.35,23.67,17.0
2008,S Sreesanth,408,332,19,43,21,4,8.15,23.74,17.47
2008,S Vidyut,21,13,1,1,1,0,10.15,22.0,13.0
2008,SB Bangar,212,153,6,9,3,0,8.67,36.83,25.5
2008,SB Joshi,82,55,1,0,0,0,8.95,82.0,55.0
2008,SB Styris,194,167,4,7,5,0,7.22,50.25,41.75
2008,SC Ganguly,127,121,7,5,1,0,6.55,18.86,17.29
2008,SD Chitnis,54,38,2,8,2,0,9.79,31.0,19.0
2008,SK Raina,30,20,2,0,0,0,9.0,15.0,10.0
2008,SK Trivedi,386,300,15,21,11,1,8.14,27.13,20.0
2008,SK Warne,395,319,20,14,7,0,7.69,20.45,15.95
2008,SM Pollock,297,280,13,10,4,0,6.58,23.62,21.54
2008,SR Watson,364,344,20,31,14,5,6.89,19.75,17.2
2008,ST Jayasuriya,158,127,5,5,1,0,7.7,32.6,25.4
2008,Shahid Afridi,220,185,9,17,4,1,7.69,26.33,20.56
2008,Shoaib Akhtar,50,46,5,4,4,0,7.04,10.8,9.2
2008,Shoaib Malik,77,58,2,10,6,1,9.0,43.5,29.0
2008,Sohail Tanvir,246,265,24,29,17,1,6.23,11.46,11.04
2008,TM Dilshan,3,6,1,0,0,0,3.0,3.0,6.0
2008,Umar Gul,166,153,14,32,12,6,7.76,14.14,10.93
2008,V Kohli,57,49,2,5,2,1,7.59,31.0,24.5
2008,V Sehwag,132,67,3,2,1,0,12.0,44.67,22.33
2008,VRV Singh,412,296,15,13,5,3,8.61,28.33,19.73
2008,VS Yeligati,53,32,0,8,2,0,11.44,inf,inf
2008,VY Mahesh,356,266,17,24,6,7,8.57,22.35,15.65
2008,WA Mota,34,20,1,2,2,0,10.8,36.0,20.0
2008,WPUJC Vaas,144,103,6,2,1,0,8.5,24.33,17.17
2008,Y Venugopal Rao,131,88,3,6,4,0,9.34,45.67,29.33
2008,YK Pathan,229,170,10,4,1,0,8.22,23.3,17.0
2008,Yuvraj Singh,81,56,3,4,2,0,9.11,28.33,18.67
2008,Z Khan,347,258,15,22,6,0,8.58,24.6,17.2
2009,A Flintoff,105,66,2,1,0,0,9.64,53.0,33.0
2009,A Kumble,340,358,22,13,3,0,5.92,16.05,16.27
2009,A Mishra,285,262,14,15,3,6,6.87,21.43,18.71
2009,A Mithun,39,27,0,3,3,0,9.33,inf,inf
2009,A Nehra,326,326,22,28,15,5,6.52,16.09,14.82
2009,A Singh,93,107,9,7,1,1,5.61,11.11,11.89
2009,A Symonds,156,147,9,6,3,0,6.61,18.0,16.33
2009,AB Agarkar,270,199,8,23,13,0,8.83,36.62,24.88
2009,AB Dinda,187,150,6,8,6,0,7.8,32.5,25.0
2009,AB McDonald,22,18,0,0,0,0,7.33,inf,inf
2009,AD Mascarenhas,132,116,6,1,0,0,6.88,22.17,19.33
2009,AD Mathews,30,15,0,2,1,0,12.8,inf,inf
2009,AM Nayar,79,77,4,5,5,0,6.55,21.0,19.25
2009,AM Rahane,5,6,1,0,0,0,5.0,5.0,6.0
2009,AM Salvi,126,106,4,12,4,0,7.81,34.5,26.5
2009,AS Raut,36,24,0,1,0,0,9.25,inf,inf
